epoch,critic_loss,generator_loss
0,6.387369155883789,0.0038649681955575943
1,5.430256366729736,-0.0551178902387619
2,3.743083953857422,-0.18650750815868378
3,2.0828499794006348,-0.3602117896080017
4,0.3145618438720703,-0.5877032279968262
5,-0.9760750532150269,-0.9135270118713379
6,-1.9903196096420288,-1.0468753576278687
7,-2.3383870124816895,-1.069806694984436
8,-2.3726913928985596,-1.0650091171264648
9,-1.7717936038970947,-1.076563835144043
10,-1.7900962829589844,-1.2215877771377563
11,-1.2708539962768555,-1.2695915699005127
12,-1.1424015760421753,-1.3199936151504517
13,-0.8369075059890747,-1.2933785915374756
14,-1.0439281463623047,-1.23145592212677
15,-1.3344614505767822,-1.065147042274475
16,-1.701858639717102,-0.9279481768608093
17,-1.822049617767334,-0.856544017791748
18,-1.6069700717926025,-0.6426923871040344
19,-1.2400920391082764,-0.7178762555122375
20,-0.9953664541244507,-0.7785748243331909
21,-1.0671019554138184,-0.7936382293701172
22,-0.8891218900680542,-0.6191447377204895
23,-1.121925950050354,-0.44471055269241333
24,-1.6495153903961182,-0.20053797960281372
25,-1.647294282913208,-0.028040334582328796
26,-1.5151113271713257,0.22289042174816132
27,-1.5482333898544312,0.36223578453063965
28,-1.2186670303344727,0.3192233443260193
29,-1.519468069076538,0.4578380584716797
30,-1.8000187873840332,0.601311206817627
31,-2.3147966861724854,0.7448798418045044
32,-2.4174046516418457,1.042896032333374
33,-2.5146703720092773,1.3591381311416626
34,-2.459850788116455,1.5912811756134033
35,-2.8708648681640625,1.946356177330017
36,-2.702786684036255,2.015369176864624
37,-2.938755750656128,1.9864943027496338
38,-3.2251222133636475,2.114361047744751
39,-3.3071765899658203,2.015105962753296
40,-3.09844708442688,2.140692710876465
41,-3.2537899017333984,2.345285654067993
42,-3.1947109699249268,2.646446943283081
43,-3.5617644786834717,2.9093282222747803
44,-3.1915416717529297,2.758303642272949
45,-3.6738033294677734,2.6949164867401123
46,-3.9889140129089355,2.8446106910705566
47,-4.319290637969971,2.8106961250305176
48,-4.191586971282959,2.8679141998291016
49,-4.015852928161621,3.040820360183716
50,-4.4671454429626465,3.2665843963623047
51,-4.6613945960998535,3.1131372451782227
52,-4.695758819580078,3.0601181983947754
53,-4.676019668579102,3.054629325866699
54,-5.597285270690918,3.1243369579315186
55,-5.480432510375977,3.070467948913574
56,-4.754021644592285,3.070615768432617
57,-4.952362537384033,3.1717190742492676
58,-5.36509895324707,3.1918277740478516
59,-5.196815013885498,3.2866742610931396
60,-5.8701982498168945,3.3849127292633057
61,-5.726806163787842,3.296130418777466
62,-5.898691654205322,3.270473003387451
63,-6.100222587585449,3.4187145233154297
64,-6.109689235687256,3.3268473148345947
65,-6.0292558670043945,3.3924720287323
66,-6.592400074005127,3.5014448165893555
67,-5.942267417907715,3.4821155071258545
68,-5.845684051513672,3.361743450164795
69,-6.348247528076172,3.3878121376037598
70,-7.417125225067139,3.4770007133483887
71,-7.363032341003418,3.5721912384033203
72,-7.1190009117126465,3.4781241416931152
73,-7.080130577087402,3.426328182220459
74,-7.890331745147705,3.606567144393921
75,-7.80863094329834,3.7663352489471436
76,-7.4690842628479,3.597341299057007
77,-7.854223728179932,3.5542802810668945
78,-8.606513023376465,3.8839828968048096
79,-8.220476150512695,3.7324411869049072
80,-7.754229545593262,3.596428871154785
81,-8.69553279876709,3.899195671081543
82,-8.352938652038574,3.883662462234497
83,-8.816377639770508,3.8167145252227783
84,-8.462249755859375,3.6038806438446045
85,-9.031952857971191,3.828287124633789
86,-9.22347640991211,4.1193647384643555
87,-9.32328987121582,3.9645421504974365
88,-9.943440437316895,3.9600915908813477
89,-9.241922378540039,4.076877593994141
90,-10.206382751464844,4.054020881652832
91,-9.825074195861816,4.1521782875061035
92,-10.448484420776367,3.9807040691375732
93,-10.322504043579102,4.089709758758545
94,-10.791465759277344,4.042497158050537
95,-10.139630317687988,4.005242347717285
96,-10.763708114624023,4.143462657928467
97,-9.75668716430664,4.018109321594238
98,-10.536859512329102,4.197955131530762
99,-12.095845222473145,4.219513416290283
100,-12.641985893249512,4.3642377853393555
101,-11.414281845092773,4.314723491668701
102,-12.871459007263184,4.175848484039307
103,-12.109708786010742,4.220566272735596
104,-11.622647285461426,4.161928176879883
105,-12.364253044128418,4.169394016265869
106,-12.68096923828125,4.339860916137695
107,-13.09359073638916,4.195466041564941
108,-12.712081909179688,4.294607162475586
109,-12.707170486450195,4.356734275817871
110,-13.91269302368164,4.2751359939575195
111,-14.264036178588867,4.349720001220703
112,-12.358686447143555,4.2133259773254395
113,-14.282302856445312,4.552282810211182
114,-14.0249662399292,4.41995096206665
115,-14.544180870056152,4.630302906036377
116,-14.944501876831055,4.52324914932251
117,-15.197403907775879,4.5753068923950195
118,-15.181921005249023,4.572166919708252
119,-15.032400131225586,4.507755279541016
120,-15.135154724121094,4.482208728790283
121,-15.887547492980957,4.657589435577393
122,-15.983926773071289,4.483355522155762
123,-16.057079315185547,4.4674577713012695
124,-15.705709457397461,4.784276008605957
125,-15.948751449584961,4.914796829223633
126,-16.827821731567383,4.672461032867432
127,-16.726760864257812,4.73190450668335
128,-16.92181396484375,4.966639041900635
129,-17.093975067138672,4.8077616691589355
130,-16.973682403564453,4.667708396911621
131,-17.91190528869629,4.710949897766113
132,-17.612865447998047,4.917841911315918
133,-18.333148956298828,4.764858722686768
134,-18.401060104370117,4.587530136108398
135,-17.550514221191406,4.8205132484436035
136,-17.866716384887695,4.893678188323975
137,-19.057268142700195,4.990434169769287
138,-18.50165367126465,4.844433307647705
139,-19.042991638183594,4.893771171569824
140,-18.053264617919922,5.049615383148193
141,-19.33296775817871,4.973623752593994
142,-19.41948890686035,4.9049835205078125
143,-20.38265037536621,5.097329616546631
144,-19.643245697021484,5.064747333526611
145,-19.47492218017578,5.1585469245910645
146,-19.857311248779297,5.008000373840332
147,-19.62920570373535,5.1112518310546875
148,-21.089649200439453,5.242477893829346
149,-20.318809509277344,5.072749614715576
150,-21.315937042236328,5.197211265563965
151,-20.698951721191406,5.271455764770508
152,-21.245445251464844,5.16531229019165
153,-20.994611740112305,5.080045223236084
154,-22.513439178466797,5.387800693511963
155,-23.60507583618164,5.429025650024414
156,-22.016536712646484,5.240697860717773
157,-22.046878814697266,5.247519016265869
158,-22.850557327270508,5.276117324829102
159,-22.03070831298828,5.359647750854492
160,-23.129182815551758,5.329237461090088
161,-23.988981246948242,5.287143707275391
162,-24.088958740234375,5.450732231140137
163,-26.52971649169922,5.447836875915527
164,-25.38924789428711,5.478764533996582
165,-23.516407012939453,5.446927070617676
166,-23.98898696899414,5.507563591003418
167,-24.257436752319336,5.537360191345215
168,-23.809165954589844,5.290019512176514
169,-24.024593353271484,5.3415913581848145
170,-25.734638214111328,5.2143235206604
171,-25.44560432434082,5.393335342407227
172,-24.718538284301758,5.438432693481445
173,-25.82098388671875,5.51248025894165
174,-24.991167068481445,5.514793872833252
175,-26.059783935546875,5.674948692321777
176,-27.312944412231445,5.544091701507568
177,-27.646787643432617,5.529993057250977
178,-25.818527221679688,5.619936466217041
179,-25.90807342529297,5.409700870513916
180,-25.8310546875,5.412515640258789
181,-27.476886749267578,5.738020420074463
182,-26.163793563842773,5.748179912567139
183,-28.661354064941406,5.636075973510742
184,-28.806753158569336,5.667184829711914
185,-27.938377380371094,5.8054914474487305
186,-26.438182830810547,5.756049156188965
187,-29.326221466064453,5.760561466217041
188,-29.602649688720703,5.845986366271973
189,-29.34944725036621,5.8623270988464355
190,-28.743051528930664,5.75114631652832
191,-28.847463607788086,5.891843318939209
192,-29.16743278503418,5.864146709442139
193,-30.939556121826172,5.9423933029174805
194,-29.54932403564453,5.908641338348389
195,-27.49216079711914,6.070202827453613
196,-29.603843688964844,5.98338508605957
197,-29.971853256225586,6.008579254150391
198,-31.206317901611328,5.697826385498047
199,-32.109519958496094,6.060921669006348
