open,high,low,close,volume,return_pct
0.46955588,0.46692753,0.4695032,0.47144568,0.48601204,0.5144702
0.46955615,0.4669282,0.46950385,0.47144547,0.48601177,0.51447034
0.46955535,0.46692958,0.46950257,0.47144806,0.48601496,0.51447093
0.46955815,0.46692732,0.46950525,0.4714431,0.48600844,0.5144708
0.4695559,0.46693027,0.4695029,0.4714478,0.48601466,0.5144714
0.4695569,0.46692845,0.4695041,0.4714452,0.4860115,0.5144707
0.46955732,0.46692747,0.46950445,0.47144413,0.4860098,0.51447076
0.46955824,0.4669288,0.46950528,0.4714444,0.48601007,0.5144715
0.46955588,0.46693006,0.4695033,0.47144675,0.4860137,0.5144711
0.46955582,0.46692902,0.46950325,0.47144654,0.48601335,0.5144706
0.46955618,0.4669293,0.46950316,0.4714467,0.4860135,0.514471
0.4695577,0.46692955,0.4695043,0.47144622,0.48601228,0.5144718
0.46955624,0.46692875,0.46950343,0.471446,0.4860125,0.5144709
0.46955568,0.4669287,0.46950293,0.47144675,0.48601335,0.5144707
0.46955892,0.4669268,0.46950552,0.4714426,0.48600763,0.5144711
0.46955788,0.46692854,0.46950504,0.47144386,0.48600975,0.5144712
0.46955603,0.4669285,0.46950334,0.47144645,0.48601288,0.5144706
0.46955943,0.46692577,0.46950644,0.4714406,0.48600504,0.51447064
0.46955678,0.46692717,0.46950376,0.4714445,0.4860104,0.5144704
0.46955717,0.46692774,0.4695042,0.47144508,0.4860109,0.51447076
0.46955565,0.46692917,0.46950293,0.47144714,0.4860141,0.51447064
0.46955758,0.4669276,0.46950504,0.4714432,0.48600873,0.51447064
0.46955797,0.46692693,0.4695052,0.47144294,0.48600823,0.51447064
0.4695585,0.46692806,0.46950522,0.47144368,0.48600906,0.51447153
0.46955857,0.4669287,0.46950564,0.47144395,0.48600945,0.51447135
0.46955878,0.46692845,0.46950543,0.47144365,0.486009,0.51447177
0.46955597,0.46693003,0.46950337,0.4714468,0.48601386,0.514471
0.46955746,0.46692896,0.4695043,0.471445,0.48601106,0.5144714
0.469558,0.4669276,0.46950552,0.47144368,0.4860091,0.5144707
0.46955615,0.46692827,0.46950316,0.47144628,0.48601264,0.51447076
0.46955892,0.46692657,0.46950555,0.47144294,0.48600784,0.51447105
0.46955636,0.46692815,0.4695034,0.47144595,0.48601228,0.51447064
0.46955726,0.4669276,0.46950418,0.47144422,0.48601007,0.51447076
0.4695557,0.46692818,0.4695029,0.47144693,0.48601335,0.5144705
0.46955588,0.46692848,0.46950296,0.471447,0.48601347,0.51447076
0.46955597,0.4669302,0.46950322,0.4714476,0.48601466,0.5144711
0.4695569,0.46692783,0.46950415,0.4714452,0.4860113,0.51447046
0.469559,0.46692625,0.46950632,0.47144088,0.48600549,0.51447076
0.46955708,0.46692955,0.46950412,0.47144553,0.48601207,0.51447135
0.4695575,0.4669284,0.46950457,0.47144467,0.48601058,0.51447093
0.46955618,0.4669283,0.46950343,0.4714454,0.4860117,0.51447064
0.46955732,0.46692744,0.4695047,0.4714445,0.48601007,0.5144704
0.46955687,0.46692732,0.46950424,0.4714444,0.48601013,0.51447046
0.4695582,0.46692702,0.4695054,0.471443,0.48600823,0.5144707
0.46955723,0.4669282,0.46950424,0.47144535,0.48601118,0.5144711
0.46955737,0.46692947,0.46950424,0.47144568,0.4860118,0.51447153
0.46955642,0.46692783,0.46950343,0.471446,0.48601216,0.51447064
0.4695587,0.4669272,0.46950546,0.47144294,0.4860078,0.51447123
0.46955615,0.46692872,0.46950322,0.471447,0.48601356,0.51447076
0.46955678,0.4669282,0.46950424,0.4714452,0.48601148,0.5144704
0.46955612,0.46692896,0.46950364,0.47144622,0.4860126,0.51447076
0.4695563,0.46692795,0.4695035,0.4714452,0.48601145,0.5144706
0.46955776,0.4669285,0.4695048,0.47144437,0.48601034,0.5144712
0.46955764,0.46692768,0.46950483,0.47144455,0.48601002,0.514471
0.4695564,0.4669289,0.46950346,0.47144568,0.48601237,0.5144708
0.469557,0.4669279,0.46950406,0.47144535,0.48601127,0.51447076
0.4695575,0.4669293,0.46950406,0.47144568,0.48601186,0.51447165
0.4695572,0.46692827,0.4695047,0.47144374,0.48600963,0.51447076
0.46955845,0.46692652,0.4695056,0.47144222,0.48600718,0.51447064
0.46955785,0.46692657,0.4695052,0.47144336,0.48600855,0.51447034
0.4695587,0.46692652,0.46950552,0.47144222,0.48600724,0.51447076
0.4695565,0.46692842,0.4695037,0.4714461,0.48601222,0.5144708
0.46955797,0.46692705,0.46950516,0.47144353,0.48600882,0.51447076
0.46955872,0.4669276,0.46950588,0.4714425,0.48600775,0.5144709
0.46955806,0.46692753,0.4695055,0.47144294,0.4860085,0.5144705
0.4695591,0.4669267,0.469506,0.4714417,0.4860064,0.5144711
0.46955657,0.46692896,0.46950358,0.4714459,0.48601246,0.514471
0.46955615,0.4669274,0.46950337,0.4714457,0.48601186,0.5144702
0.4695563,0.46692827,0.46950385,0.47144526,0.48601145,0.5144705
0.46955633,0.46692798,0.46950388,0.47144526,0.4860116,0.51447034
0.46955726,0.46692795,0.4695047,0.47144464,0.48601046,0.5144707
0.46955562,0.46693018,0.46950316,0.47144723,0.4860145,0.5144709
0.46955696,0.46692747,0.46950445,0.4714448,0.48601043,0.51447046
0.4695565,0.46692955,0.4695033,0.4714466,0.48601323,0.51447135
0.4695577,0.46692747,0.46950522,0.4714434,0.48600894,0.5144706
0.46955642,0.4669285,0.46950316,0.47144654,0.48601297,0.514471
0.4695584,0.4669284,0.46950483,0.47144422,0.4860097,0.51447177
